Time,Channel A,Channel B
(s),(V),(V)

0.00000000,-0.14117860,0.41743220
0.00333400,-0.14117860,0.41743220
0.00666800,-0.12350840,0.43519400
0.01000200,-0.12350840,0.44410540
0.01333600,-0.12350840,0.43519400
0.01667000,-0.13232830,0.43519400
0.02000400,-0.13232830,0.43519400
0.02333800,-0.10586870,0.46189760
0.02667200,-0.12350840,0.44410540
0.03000600,-0.13232830,0.43519400
0.03334000,-0.12350840,0.44410540
0.03667400,-0.14117860,0.43519400
0.04000800,-0.13232830,0.44410540
0.04334200,-0.14117860,0.42631310
0.04667600,-0.11468860,0.46189760
0.05001000,-0.12350840,0.46189760
0.05334400,-0.14117860,0.42631310
0.05667800,-0.14999850,0.42631310
0.06001200,-0.15881830,0.42631310
0.06334600,-0.14117860,0.44410540
0.06668000,-0.14117860,0.44410540
0.07001400,-0.11468860,0.46189760
0.07334800,-0.13232830,0.45298620
0.07668200,-0.14999850,0.43519400
0.08001600,-0.14117860,0.44410540
0.08335000,-0.14117860,0.45298620
0.08668400,-0.12350840,0.47077850
0.09001800,-0.14117860,0.45298620
0.09335200,-0.13232830,0.45298620
0.09668600,-0.14117860,0.45298620
0.10002000,-0.13232830,0.45298620
0.10335400,-0.14117860,0.46189760
0.10668800,-0.14117860,0.46189760
0.11002200,-0.14117860,0.46189760
0.11335600,-0.14999850,0.43519400
0.11669000,-0.13232830,0.46189760
0.12002400,-0.14999850,0.44410540
0.12335800,-0.14999850,0.44410540
0.12669200,-0.14117860,0.46189760
0.13002600,-0.13232830,0.47077850
0.13336000,-0.14999850,0.45298620
0.13669400,-0.16763820,0.43519400
0.14002800,-0.15881830,0.43519400
0.14336200,-0.13232830,0.46189760
0.14669600,-0.14117860,0.47077850
0.15003000,-0.11468860,0.47965940
0.15336400,-0.14999850,0.44410540
0.15669800,-0.14999850,0.44410540
0.16003200,-0.14999850,0.45298620
0.16336600,-0.14117860,0.45298620
0.16670000,-0.13232830,0.47077850
0.17003400,-0.12350840,0.47077850
0.17336800,-0.13232830,0.47077850
0.17670200,-0.14117860,0.45298620
0.18003600,-0.13232830,0.46189760
0.18337000,-0.14117860,0.45298620
0.18670400,-0.12350840,0.47077850
0.19003800,-0.14117860,0.46189760
0.19337200,-0.12350840,0.47965940
0.19670600,-0.14117860,0.46189760
0.20004000,-0.14117860,0.47077850
0.20337400,-0.14117860,0.46189760
0.20670800,-0.12350840,0.47965940
0.21004200,-0.11468860,0.47077850
0.21337600,-0.14117860,0.45298620
0.21671000,-0.14117860,0.45298620
0.22004400,-0.12350840,0.47077850
0.22337800,-0.13232830,0.47077850
0.22671200,-0.12350840,0.47077850
0.23004600,-0.12350840,0.47077850
0.23338000,-0.12350840,0.47077850
0.23671400,-0.13232830,0.47077850
0.24004800,-0.14117860,0.46189760
0.24338200,-0.14117860,0.46189760
0.24671600,-0.12350840,0.47077850
0.25005000,-0.10586870,0.48857080
0.25338400,-0.13232830,0.47077850
0.25671800,-0.14117860,0.47077850
0.26005200,-0.12350840,0.47077850
0.26338600,-0.13232830,0.47077850
0.26672000,-0.12350840,0.47965940
0.27005400,-0.12350840,0.47077850
