Time,Channel A,Channel B
(s),(V),(V)

0.00000000,-0.01763970,0.50636310
0.00666700,-0.03527940,0.49745170
0.01333400,-0.01763970,0.50636310
0.02000100,-0.01763970,0.50636310
0.02666800,-0.02645955,0.49745170
0.03333500,0.00000000,0.51524400
0.04000200,0.00000000,0.52412490
0.04666900,-0.02645955,0.48857080
0.05333600,0.00000000,0.51524400
0.06000300,-0.01763970,0.50636310
0.06667000,-0.03527940,0.48857080
0.07333700,0.00000000,0.52412490
0.08000400,-0.03527940,0.48857080
0.08667100,-0.02645955,0.49745170
0.09333800,0.00000000,0.53303630
0.10000500,-0.00881985,0.50636310
0.10667200,-0.01763970,0.50636310
0.11333900,0.00881985,0.53303630
0.12000600,0.00000000,0.52412490
0.12667300,-0.03527940,0.48857080
0.13334000,0.00000000,0.52412490
0.14000700,-0.00881985,0.50636310
0.14667400,-0.00881985,0.51524400
0.15334099,0.00000000,0.51524400
0.16000799,-0.01763970,0.49745170
0.16667499,-0.01763970,0.50636310
0.17334199,-0.00881985,0.52412490
0.18000899,-0.00881985,0.50636310
0.18667599,-0.01763970,0.49745170
0.19334299,0.00000000,0.52412490
0.20000999,-0.00881985,0.52412490
0.20667699,-0.03527940,0.49745170
0.21334399,-0.01763970,0.50636310
0.22001099,-0.01763970,0.50636310
0.22667799,-0.04409925,0.48857080
0.23334499,-0.01763970,0.51524400
0.24001199,-0.02645955,0.49745170
0.24667899,-0.03527940,0.50636310
0.25334599,-0.01763970,0.52412490
0.26001299,-0.00881985,0.52412490
0.26667999,-0.02645955,0.49745170
0.27334699,-0.01763970,0.51524400
0.28001399,-0.01763970,0.51524400
0.28668099,-0.03527940,0.49745170
0.29334799,-0.01763970,0.51524400
0.30001499,-0.03527940,0.49745170
0.30668199,-0.05291910,0.48857080
0.31334899,-0.01763970,0.51524400
0.32001599,-0.05291910,0.47965940
0.32668299,-0.04409925,0.48857080
0.33334999,-0.01763970,0.50636310
0.34001699,-0.03527940,0.49745170
0.34668399,-0.03527940,0.50636310
0.35335099,-0.03527940,0.50636310
0.36001799,-0.01763970,0.52412490
0.36668499,-0.04409925,0.48857080
0.37335199,-0.01763970,0.51524400
0.38001899,-0.01763970,0.52412490
0.38668599,-0.03527940,0.49745170
0.39335299,-0.01763970,0.51524400
0.40001999,-0.01763970,0.51524400
0.40668699,-0.03527940,0.49745170
0.41335399,-0.02645955,0.50636310
0.42002099,-0.04409925,0.48857080
0.42668799,-0.03527940,0.50636310
0.43335499,-0.01763970,0.51524400
0.44002199,-0.02645955,0.51524400
0.44668898,-0.04409925,0.49745170
0.45335598,-0.02645955,0.50636310
0.46002298,-0.03527940,0.50636310
0.46668998,-0.05291910,0.48857080
0.47335698,-0.01763970,0.51524400
0.48002398,-0.01763970,0.52412490
0.48669098,-0.03527940,0.49745170
0.49335798,-0.01763970,0.52412490
0.50002498,-0.05291910,0.48857080
0.50669198,-0.06173895,0.47965940
0.51335898,-0.03527940,0.50636310
0.52002598,-0.05291910,0.48857080
0.52669298,-0.05291910,0.48857080
0.53335998,-0.03527940,0.50636310
0.54002698,-0.03527940,0.50636310
0.54669398,-0.05291910,0.48857080
